objectid,parentid,title,description,item information,postcard_type,creator,date,subject,location,publisher,publisher location,source,date is approximate,rights,rightsstatement,original_format,type,format,language,latitude,longitude,filename,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
nwpostcards435,,Noll Aduitorium [Bryan Hall],"Photographic postcard of Bryan Hall on the Washington State University campus (mislabeled ""Noll Aduitorium"") . Card is damaged and held together with tape.","written message ; postage applied; Postmark: 11/3/1915, Pullman, WA; Destination: Terell, TX",photographic postcard,,1915,auditoriums; universities (buildings); clock towers (towers); photographic postcards,"Pullman, Washington; Washington State University",Patton Post Card Co.,"Salem, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Black and white",Image;StillImage,multiple,eng,46.731643,-117.165625,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_023_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_023_th.jpg,,
nwpostcards436,nwpostcards435,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_023.jpg,postcard_023,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_023.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_023_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_023_th.jpg,,
nwpostcards437,nwpostcards435,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_023b.jpg,postcard_023b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_023b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_023b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_023b_th.jpg,,
nwpostcards472,,"Court House Square, Seattle, Washington","Photographic postcard of the King County Courthouse square in Seattle, Washington. Photo is sepia toned. | Court House Square, Seatle, Wn.",,photographic postcard,,1910,public buildings; county courthouses; trees; men; photographic postcards; flagpoles; flags,"Seattle, Washington; King County Courthouse","Scenic Photo Publishing, Co., Inc.","Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x  3.4375, Black and white",Image;StillImage,multiple,eng,47.601876,-122.329327,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_024_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_024_th.jpg,,
nwpostcards473,nwpostcards472,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_024.jpg,postcard_024,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_024.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_024_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_024_th.jpg,,
nwpostcards474,nwpostcards472,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_024b.jpg,postcard_024b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_024b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_024b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_024b_th.jpg,,
nwpostcards484,,"Oregon State Building, Alaska-Yukon-Pacific Exposition","Postcard of the Oregon State Building at the Alaska-Yukon-Pacific Exposition in 1909 in Seattle, Washington. The grounds of the exposition later became the University of Washington campus.","written message; postage applied; Postmark: 5/2/1911, Seattle, Washington; Destination: Winthrop, MA",picture postcard,,1909,exhibition buildings; exhibitions (events); trees; picture postcards,"Seattle, Washington; University of Washington",Portland Post Card Co.,"Portland, OR; Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5 x 5.5, Color",Image;StillImage,multiple,eng,47.655856,-122.306094,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_026_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_026_th.jpg,,
nwpostcards485,nwpostcards484,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_026.jpg,postcard_026,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_026.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_026_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_026_th.jpg,,
nwpostcards486,nwpostcards484,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_026b.jpg,postcard_026b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_026b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_026b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_026b_th.jpg,,
nwpostcards487,,"Lincoln High School, Seattle, Washington","Postcard is of Lincoln High School in Seattle, Washington.",,photographic postcard,,1920,high schools (buildings); photographic postcards,"Seattle, Washington",Puget Sound News Company,"Seattle, WA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",yes,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"3.5 x 5.5, Black and white",Image;StillImage,multiple,eng,47.660491,-122.340806,,,multiple,,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_027_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_027_th.jpg,,
nwpostcards488,nwpostcards487,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_027.jpg,postcard_027,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_027.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_027_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_027_th.jpg,,
nwpostcards489,nwpostcards487,,,,,,,,,,,,,,,,,image/jpeg,,,,postcard_027b.jpg,postcard_027b,image,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/postcard_027b.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/small/postcard_027b_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-nwpostcards/thumbs/postcard_027b_th.jpg,,
